id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"1819","requestNewDebitCard","Request new debit card/update debit care related","नए डेबिट कार्ड के लिए अनुरोध/डेबिट देखभाल संबंधी अपडेट करें","புதிய டெபிட் கார்டு/ டெபிட் கார்டு புதுப்பித்தல் தொடர்பான கோரிக்கை","Request new debit card/update debit care related","Request new debit card/update debit care related","ಹೊಸ ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಅನ್ನು ವಿನಂತಿಸಿ/ಸಂಬಂಧಿತ ಡೆಬಿಟ್ ಕೇರ್ ಅನ್ನು ನವೀಕರಿಸಿ","Request new debit card/update debit care related","Request new debit card/update debit care related","ಹೊಸ ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಅನ್ನು ವಿನಂತಿಸಿ/ಸಂಬಂಧಿತ ಡೆಬಿಟ್ ಕೇರ್ ಅನ್ನು ನವೀಕರಿಸಿ","IB"
"1820","userIdAvailable","User ID Available","यूज़र आईडी उपलब्ध है","பயனர் ஐடி கிடைக்கக்கூடியதாக உள்ளது","User ID Available","User ID Available","User ID Available","User ID Available","User ID Available","ಬಳಕೆದಾರ ಐಡಿ ಲಭ್ಯವಿದೆ","IB"
"1821","highlights","Highlights","हाइलाइट","சிறப்பம்சங்கள்","Highlights","Highlights","ಮುಖ್ಯಾಂಶಗಳು","Highlights","Highlights","ಮುಖ್ಯಾಂಶಗಳು","IB"
"1822","deleteNomineeTnc","I hereby delete the nominee and I understand and acknowledge the consequences associated with no nomination given by me. I hereby declare if I wish to make a nomination in the future, I shall update the same with the bank.","मैं इसके द्वारा नामांकित व्यक्ति को हटा देता हूं और मैं मेरे द्वारा नामांकन न दिए जाने से जुड़े परिणामों को समझता हूं और स्वीकार करता हूं। मैं एतद्द्वारा घोषणा करता हूं कि यदि मैं भविष्य में नामांकन करना चाहता हूं, तो मैं इसे बैंक के साथ अद्यतन करूंगा।","நான் இதன் மூலம் நியமனதாரரை நீக்குகிறேன், மேலும் என்னால் வழங்கப்படாத நியமனத்துடன் தொடர்புடைய விளைவுகளை நான் புரிந்துகொண்டு ஒப்புக்கொள்கிறேன். எதிர்காலத்தில் நான் பரிந்துரை செய்ய விரும்பினால், அதை வங்கியில் புதுப்பிப்பேன் என்று இதன் மூலம் உறுதியளிக்கிறேன்.","I hereby delete the nominee and I understand and acknowledge the consequences associated with no nomination given by me. I hereby declare if I wish to make a nomination in the future, I shall update the same with the bank.","I hereby delete the nominee and I understand and acknowledge the consequences associated with no nomination given by me. I hereby declare if I wish to make a nomination in the future, I shall update the same with the bank.","ನಾನು ಈ ಮೂಲಕ ನಾಮಿನಿಯನ್ನು ಅಳಿಸುತ್ತೇನೆ ಮತ್ತು ನಾನು ನೀಡಿದ ಯಾವುದೇ ನಾಮನಿರ್ದೇಶನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಪರಿಣಾಮಗಳನ್ನು ನಾನು ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೇನೆ ಮತ್ತು ಅಂಗೀಕರಿಸುತ್ತೇನೆ.  ನಾನು ಭವಿಷ್ಯದಲ್ಲಿ ನಾಮನಿರ್ದೇಶನವನ್ನು ಮಾಡಲು ಬಯಸಿದರೆ, ನಾನು ಅದನ್ನು ಬ್ಯಾಂಕ್ನೊಂದಿಗೆ ನವೀಕರಿಸುತ್ತೇನೆ ಎಂದು ನಾನು ಈ ಮೂಲಕ ಘೋಷಿಸುತ್ತೇನೆ.","I hereby delete the nominee and I understand and acknowledge the consequences associated with no nomination given by me. I hereby declare if I wish to make a nomination in the future, I shall update the same with the bank.","I hereby delete the nominee and I understand and acknowledge the consequences associated with no nomination given by me. I hereby declare if I wish to make a nomination in the future, I shall update the same with the bank.","ನಾನು ಈ ಮೂಲಕ ನಾಮಿನಿಯನ್ನು ಅಳಿಸುತ್ತೇನೆ ಮತ್ತು ನಾನು ನೀಡಿದ ಯಾವುದೇ ನಾಮನಿರ್ದೇಶನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಪರಿಣಾಮಗಳನ್ನು ನಾನು ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೇನೆ ಮತ್ತು ಅಂಗೀಕರಿಸುತ್ತೇನೆ.  ನಾನು ಭವಿಷ್ಯದಲ್ಲಿ ನಾಮನಿರ್ದೇಶನವನ್ನು ಮಾಡಲು ಬಯಸಿದರೆ, ನಾನು ಅದನ್ನು ಬ್ಯಾಂಕ್ನೊಂದಿಗೆ ನವೀಕರಿಸುತ್ತೇನೆ ಎಂದು ನಾನು ಈ ಮೂಲಕ ಘೋಷಿಸುತ್ತೇನೆ.","IB"
"1823","downloadExcel","Download Excel","एक्सेल डाउनलोड करें","Excel-ஐ பதிவிறக்குக","Download Excel","Download Excel","Excel ಡೌನ್·ಲೋಡ್ ಮಾಡಿ","Download Excel","Download Excel","Excel ಡೌನ್·ಲೋಡ್ ಮಾಡಿ","IB"
"1824","noText","No","इक्विटास के साथ अपना पैसा बढ़ाएँ","இல்லை","No","No","No","No","No","ಇಲ್ಲ","IB"
"1825","loanApplnIncomeError","Income per month should be above {minamount}","हर महीने की आय {कम से कम राशि} से ज़्यादा होनी चाहिए।","மாத வருமானம் {குறைந்த பட்சம்} -க்கு மேல் இருக்க வேண்டும்","Income per month should be above {minamount}","Income per month should be above {minamount}","Income per month should be above {minamount}","Income per month should be above {minamount}","Income per month should be above {minamount}","Income per month should be above {minamount}","IB"
"1826","updateTncDescription","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","हमने अपने शर्तों और नियमों अपडेट कर दी हैं। हमारी बैंकिंग सर्विस का फ़ायदा उठाते रहने के लिए, कृपया अपडेटेड T&C को देखें और स्वीकार करें।","எங்கள் விதிமுறைகளையும் நிபந்தனைகளையும் புதுப்பித்துள்ளோம். எங்கள் வங்கிச் சேவைகளைத் தொடர்ந்து பெற, புதுப்பிக்கப்பட்ட T&C மதிப்பாய்வு செய்து ஏற்கவும்.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","We have updated our terms and conditions. Please review and accept the updated T&C to continue to avail of our banking services.","IB"
"1827","acknowledgementNo","Acknowledgement Number","रसीद संख्या","ஒப்புகை எண்","Acknowledgement Number","Acknowledgement Number","Acknowledgement Number","Acknowledgement Number","Acknowledgement Number","Acknowledgement Number","IB"
"1828","cancelPayment","Are you sure you want to cancel the Payment?","क्या आप सच में भुगतान रद्द करना चाहते हैं?","நீங்கள் நிச்சயமாக பேமெண்ட்டை ரத்து செய்ய விரும்புகிறீர்களா?","Are you sure you want to cancel the Payment?","Are you sure you want to cancel the Payment?","Are you sure you want to cancel the Payment?","Are you sure you want to cancel the Payment?","Are you sure you want to cancel the Payment?","Are you sure you want to cancel the Payment?","IB"
"1829","pinError","Please enter a 6-digit PIN code.","कृपया 6 अंकों वाला पिन कोड दर्ज करें।","6 இலக்க பின் குறியீட்டை உள்ளிடவும்.","Please enter a 6-digit PIN code.","Please enter a 6-digit PIN code.","Please enter a 6-digit PIN code.","Please enter a 6-digit PIN code.","Please enter a 6-digit PIN code.","Please enter a 6-digit PIN code.","IB"
"1830","validPinCodeError","Enter a valid PIN code.","एक सही पिन कोड दर्ज करें।","சரியான பின் குறியீட்டை உள்ளிடவும்.","Enter a valid PIN code.","Enter a valid PIN code.","Enter a valid PIN code.","Enter a valid PIN code.","Enter a valid PIN code.","Enter a valid PIN code.","IB"
"1831","retrywithDebitCard","Retry with Debit Card","डेबिट कार्ड से पुनः प्रयास करें","டெபிட் கார்டு மூலம் மீண்டும் முயற்சிக்கவும்","Retry with Debit Card","Retry with Debit Card","Retry with Debit Card","Retry with Debit Card","Retry with Debit Card","Retry with Debit Card","IB"
"1832","hasOtherLoan","Do you have any other loan?","क्या आपने कोई और लोन लिया है?","உங்களுக்கு வேறு ஏதேனும் கடன் உள்ளதா?","Do you have any other loan?","Do you have any other loan?","Do you have any other loan?","Do you have any other loan?","Do you have any other loan?","Do you have any other loan?","IB"
"1833","noteTextSR","This is a service request and will be processed in another 3 - 5 working days","यह एक सेवा अनुरोध है और इसे अगले 3 - 5 कामकाजी दिनों में प्रोसेस किया जाएगा।","இது ஒரு சேவைக் கோரிக்கை; மற்றும் இது 3-5 வேலை நாட்களில் செயலாக்கப்படும்","This is a service request and will be processed in another 3 - 5 working days","This is a service request and will be processed in another 3 - 5 working days","This is a service request and will be processed in another 3 - 5 working days","This is a service request and will be processed in another 3 - 5 working days","This is a service request and will be processed in another 3 - 5 working days","This is a service request and will be processed in another 3 - 5 working days","IB"
"1834","cardlessAmount","Enter a deposit amount between ₹1,000 and ₹10,000.","₹1,000 और ₹10,000 के बीच जमा राशि दर्ज करें।","₹1,000 முதல் ₹10,000 வரையிலான டெபாசிட் தொகையை உள்ளிடவும்.","Enter a deposit amount between ₹1,000 and ₹10,000.","Enter a deposit amount between ₹1,000 and ₹10,000.","Enter a deposit amount between ₹1,000 and ₹10,000.","Enter a deposit amount between ₹1,000 and ₹10,000.","Enter a deposit amount between ₹1,000 and ₹10,000.","Enter a deposit amount between ₹1,000 and ₹10,000.","IB"
"1835","exceededTokenLimits","Please try again!||Exceeded Maximum Token Resend Attempts","कृपया फिर से प्रयास करें!||टोकन दोबारा भेजने की ज़्यादा से ज़्यादा प्रयास पार हो गईं","தயவு செய்து மீண்டும் முயற்சிக்கவும்! || அதிகபட்ச டோக்கனை மீண்டும் அனுப்பும் முயற்சிகள் மீறப்பட்டன","Please try again!||Exceeded Maximum Token Resend Attempts","Please try again!||Exceeded Maximum Token Resend Attempts","Please try again!||Exceeded Maximum Token Resend Attempts","Please try again!||Exceeded Maximum Token Resend Attempts","Please try again!||Exceeded Maximum Token Resend Attempts","Please try again!||Exceeded Maximum Token Resend Attempts","IB"
"1836","rekycUpdateNote","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","अगर आपका कोई खाता, संयुक्त खाता है, तो कृपया पक्का करें कि दूसरे संयुक्त खाता धारक भी अपना KYC अपडेट कर लें।","உங்கள் கணக்கு ஏதேனும் ஒரு கூட்டுக் கணக்காக இருந்தால், கூட்டுக் கணக்கில் இருக்கும் மற்றவரும் தங்கள் KYC-ஐப் புதுப்பிப்பதை உறுதி செய்க","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","If any of your account is a joint account, please ensure that the other joint account holders also update their KYC","IB"
"1837","cpinNumDoNotMatch","CPIN Number do not match","CPIN नंबर मेल नहीं खाता है","CPIN எண் பொருந்தவில்லை","CPIN Number do not match","CPIN Number do not match","CPIN Number do not match","CPIN Number do not match","CPIN Number do not match","CPIN Number do not match","IB"
"1838","cashWithdrawalMode","Cash Withdrawal Mode","कैश निकालने का तरीका","பணத்தைத் திரும்பப் பெறும் முறை","Cash Withdrawal Mode","Cash Withdrawal Mode","Cash Withdrawal Mode","Cash Withdrawal Mode","Cash Withdrawal Mode","Cash Withdrawal Mode","IB"
"1839","yourINRDeposits","Your INR Deposits","आपके INR डिपॉज़िट","உங்கள் INR வைப்புகள்","Your INR Deposits","Your INR Deposits","Your INR Deposits","Your INR Deposits","Your INR Deposits","Your INR Deposits","IB"
"1840","contactlessLimit2","per transaction & INR","प्रति लेनदेन और INR","ஒரு பரிவர்த்தனைக்கு & INR","per transaction & INR","per transaction & INR","per transaction & INR","per transaction & INR","per transaction & INR","per transaction & INR","IB"
"1841","contactlessLimit3","per day currently (for Mastercard and selected VISA cards)","अभी हर दिन (मास्टरकार्ड और चुने हुए वीज़ा कार्ड के लिए)","தற்போது ஒரு நாளைக்கு (மாஸ்டர்கார்டு மற்றும் தேர்ந்தெடுக்கப்பட்ட விசா கார்டுகளுக்கு)","per day currently (for Mastercard and selected VISA cards)","per day currently (for Mastercard and selected VISA cards)","per day currently (for Mastercard and selected VISA cards)","per day currently (for Mastercard and selected VISA cards)","per day currently (for Mastercard and selected VISA cards)","per day currently (for Mastercard and selected VISA cards)","IB"
"1842","inValidAadhaar","Enter a Valid Aadhaar Number","सही आधार नंबर डालें","சரியான ஆதார் எண்ணை உள்ளிடவும்","Enter a Valid Aadhaar Number","Enter a Valid Aadhaar Number","Enter a Valid Aadhaar Number","Enter a Valid Aadhaar Number","Enter a Valid Aadhaar Number","Enter a Valid Aadhaar Number","IB"
"1843","resident","RESIDENT","निवासी","குடியுரிமை உள்ளவர்","RESIDENT","RESIDENT","RESIDENT","RESIDENT","RESIDENT","RESIDENT","IB"
"1844","applyForCreditCard","Apply Credit Card","क्रेडिट कार्ड के लिए आवेदन करें","கிரெடிட் கார்டுக்கு விண்ணப்பிக்கவும்","Apply Credit Card","Apply Credit Card","Apply Credit Card","Apply Credit Card","Apply Credit Card","Apply Credit Card","IB"
"1845","merchantSiteUrlRedirection","Are you sure you want to redirect to Merchant site","क्या आप पक्का मर्चेंट साइट पर पुन: निर्देशित करना चाहते हैं?","வணிகரின் தளத்திற்கு நிச்சயமாக வழி நடத்த விரும்புகிறீர்களா?","Are you sure you want to redirect to Merchant site","Are you sure you want to redirect to Merchant site","Are you sure you want to redirect to Merchant site","Are you sure you want to redirect to Merchant site","Are you sure you want to redirect to Merchant site","Are you sure you want to redirect to Merchant site","IB"
"1846","microFinance","Micro Finance","सूक्ष्म वित्त","சிற்றளவுப் பொருளுதவி","Micro Finance","Micro Finance","Micro Finance","Micro Finance","Micro Finance","Micro Finance","IB"
"1847","accountUpgrade","Account cannot be upgraded!","खाता अपग्रेड नहीं किया जा सकता!","கணக்கை மேம்படுத்த முடியாது!","Account cannot be upgraded!","Account cannot be upgraded!","Account cannot be upgraded!","Account cannot be upgraded!","Account cannot be upgraded!","Account cannot be upgraded!","IB"
"1848","whyToChoose","Why to Choose Equitas?","इक्विटास को क्यों चुनें?","எக்விடாஸை ஏன் தேர்வு செய்ய வேண்டும்?","Why to Choose Equitas?","Why to Choose Equitas?","Why to Choose Equitas?","Why to Choose Equitas?","Why to Choose Equitas?","Why to Choose Equitas?","IB"
"1849","statementOfAccountsFull","Statement Of Accounts - full","इक्विटास के साथ अपना पैसा बढ़ाएँ","கணக்கு அறிக்கை - முழுமை","Statement Of Accounts - full","Statement Of Accounts - full","Statement Of Accounts - full","Statement Of Accounts - full","Statement Of Accounts - full","ಖಾತೆಗಳ ಹೇಳಿಕೆ - ಪೂರ್ಣ","IB"
"1850","forgot","Forgot","भूल गए","மறந்துவிட்டதா","Forgot","Forgot","ಮರೆತು ಹೋಗಿದೆ","Forgot","Forgot","ಮರೆತು ಹೋಗಿದೆ","IB"
"1851","ClickForSubsequent","Click for Subsequent Contribution","आगामी योगदान के लिए क्लिक करें","அடுத்தடுத்த பங்களிப்பிற்கு கிளிக் செய்யவும்","Click for Subsequent Contribution","Click for Subsequent Contribution","ನಂತರದ ಆಫರ್·ಗಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ","Click for Subsequent Contribution","Click for Subsequent Contribution","ನಂತರದ ಆಫರ್·ಗಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ","IB"
"1852","investDisclaimer","You are being redirected to a third-party website. All liabilities acts and omission arising therefrom, would be at your and third party website Owner’s risk and responsibility. The Bank will not be liable for any act or omission arising therefrom.","आपको एक तृतीय-पक्ष वेबसाइट पर पुनः निर्देशित किया जा रहा है। सभी दायित्व अधिनियम और उनसे उत्पन्न होने वाली चूक, आपके और तीसरे पक्ष की वेबसाइट के मालिक के जोखिम और जिम्मेदारी पर होगी। बैंक इससे उत्पन्न किसी भी कार्य या चूक के लिए उत्तरदायी नहीं होगा।","நீங்கள் மூன்றாம் தரப்பு இணையதளத்திற்கு திருப்பி விடப்படுகிறீர்கள். அதனால் எழும் அனைத்து பொறுப்புகள் செயல்கள் மற்றும் புறக்கணிப்புகளும், உங்கள் மற்றும் மூன்றாம் தரப்பு இணையதள உரிமையாளரின் ஆபத்து மற்றும் பொறுப்பாக இருக்கும். அதனால் ஏற்படும் எந்தவொரு செயலுக்கும் அல்லது விடுபடுவதற்கும் வங்கி பொறுப்பேற்காது.","You are being redirected to a third-party website. All liabilities acts and omission arising therefrom, would be at your and third party website Owner’s risk and responsibility. The Bank will not be liable for any act or omission arising therefrom.","You are being redirected to a third-party website. All liabilities acts and omission arising therefrom, would be at your and third party website Owner’s risk and responsibility. The Bank will not be liable for any act or omission arising therefrom.","ನಿಮ್ಮನ್ನು ಮೂರನೇ ವ್ಯಕ್ತಿಯ ವೆಬ್·ಸೈಟ್·ಗೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುತ್ತಿದೆ. ಎಲ್ಲಾ ಹೊಣೆಗಾರಿಕೆಗಳ ಕಾರ್ಯಗಳು ಮತ್ತು ಅದರಿಂದ ಉಂಟಾಗುವ ಲೋಪಗಳು ನಿಮ್ಮ ಮತ್ತು ಮೂರನೇ ವ್ಯಕ್ತಿಯ ವೆಬ್ಸೈಟ್ ಮಾಲೀಕರ ಅಪಾಯ ಮತ್ತು ಜವಾಬ್ದಾರಿಯಲ್ಲಿರುತ್ತವೆ. ಯಾವುದೇ ಕಾರ್ಯ ಅಥವಾ ಅದರಿಂದ ಉಂಟಾಗುವ ಲೋಪಕ್ಕೆ ಬ್ಯಾಂಕ್ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ.","You are being redirected to a third-party website. All liabilities acts and omission arising therefrom, would be at your and third party website Owner’s risk and responsibility. The Bank will not be liable for any act or omission arising therefrom.","You are being redirected to a third-party website. All liabilities acts and omission arising therefrom, would be at your and third party website Owner’s risk and responsibility. The Bank will not be liable for any act or omission arising therefrom.","ನಿಮ್ಮನ್ನು ಮೂರನೇ ವ್ಯಕ್ತಿಯ ವೆಬ್·ಸೈಟ್·ಗೆ ಮರುನಿರ್ದೇಶಿಸಲಾಗುತ್ತಿದೆ. ಎಲ್ಲಾ ಹೊಣೆಗಾರಿಕೆಗಳ ಕಾರ್ಯಗಳು ಮತ್ತು ಅದರಿಂದ ಉಂಟಾಗುವ ಲೋಪಗಳು ನಿಮ್ಮ ಮತ್ತು ಮೂರನೇ ವ್ಯಕ್ತಿಯ ವೆಬ್ಸೈಟ್ ಮಾಲೀಕರ ಅಪಾಯ ಮತ್ತು ಜವಾಬ್ದಾರಿಯಲ್ಲಿರುತ್ತವೆ. ಯಾವುದೇ ಕಾರ್ಯ ಅಥವಾ ಅದರಿಂದ ಉಂಟಾಗುವ ಲೋಪಕ್ಕೆ ಬ್ಯಾಂಕ್ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ.","IB"
"1853","beyondHours","Beyond 24 Hours up to 48 Hours","इक्विटास के साथ अपना पैसा बढ़ाएँ","24 மணிநேரத்திற்கு அப்பால் 48 மணிநேரம் வரை","Beyond 24 Hours up to 48 Hours","Beyond 24 Hours up to 48 Hours","Beyond 24 Hours up to 48 Hours","Beyond 24 Hours up to 48 Hours","Beyond 24 Hours up to 48 Hours","24 ಗಂಟೆಗಳ ನಂತರ 48 ಗಂಟೆಗಳವರೆಗೆ","IB"
"1854","payeeTransferLimits","Payee Transfer Limits","इक्विटास के साथ अपना पैसा बढ़ाएँ","பணம் பெறுபவரின் பரிவர்த்தனை வரம்புகள்","Payee Transfer Limits","Payee Transfer Limits","Payee Transfer Limits","Payee Transfer Limits","Payee Transfer Limits","ಪಾವತಿದಾರರ ವರ್ಗಾವಣೆ ಮಿತಿಗಳು","IB"
"1855","manageNominee","Manage Nominee","इक्विटास के साथ अपना पैसा बढ़ाएँ","நாமினியை நிர்வகிக்கவும்","Manage Nominee","Manage Nominee","Manage Nominee","Manage Nominee","Manage Nominee","ನಾಮಿನಿಯನ್ನು ನಿರ್ವಹಿಸಿ","IB"
"1856","date","Date","तारीख","தேதி","Date","Date","ದಿನಾಂಕ","Date","Date","ದಿನಾಂಕ","IB"
"1857","mobileAadharPanMatch","Please enter the phone number linked to your Aadhaar and PAN card","कृपया अपने आधार और PAN कार्ड से जुड़ा फ़ोन नंबर दर्ज करें","உங்கள் ஆதார் மற்றும் PAN கார்டுடன் இணைக்கப்பட்ட தொலைபேசி எண்ணை உள்ளிடவும்","Please enter the phone number linked to your Aadhaar and PAN card","Please enter the phone number linked to your Aadhaar and PAN card","Please enter the phone number linked to your Aadhaar and PAN card","Please enter the phone number linked to your Aadhaar and PAN card","Please enter the phone number linked to your Aadhaar and PAN card","Please enter the phone number linked to your Aadhaar and PAN card","IB"
"1858","permanentResident","Are you a permanent resident of India?","क्या आप भारत के स्थायी निवासी हैं?","நீங்கள் இந்தியாவில் நிரந்தரமாக வசிப்பவரா?","Are you a permanent resident of India?","Are you a permanent resident of India?","Are you a permanent resident of India?","Are you a permanent resident of India?","Are you a permanent resident of India?","Are you a permanent resident of India?","IB"
"1859","smileKyc","Be ready to smile since you will be going through KYC","मुस्कुराने के लिए तैयार रहें क्योंकि आप KYC से गुज़रेंगे","நீங்கள் KYC வழியாகச் செல்வதால் புன்னகைக்கத் தயாராக இருங்கள்","Be ready to smile since you will be going through KYC","Be ready to smile since you will be going through KYC","Be ready to smile since you will be going through KYC","Be ready to smile since you will be going through KYC","Be ready to smile since you will be going through KYC","Be ready to smile since you will be going through KYC","IB"
"1860","last6Month","Last 6 Months","????? 6 ?????","????? 6 ?????","Last 6 month","Last 6 month","Last 6 month","Last 6 month","Last 6 month","Last 6 month","IB"
"1861","quickAction","Quick Action","त्वरित कार्रवाई","விரைவான நடவடிக்கை","Quick Action","Quick Action","Quick Action","Quick Action","Quick Action","Quick Action","IB"
"1862","oneTapTokenText","1-Tap Token","1-टैप टोकन","1-டேப் டோக்கன்","1-Tap Token","1-Tap Token","1-Tap Token","1-Tap Token","1-Tap Token","1-Tap Token","IB"
"1863","hideCardDetails","Hide Card Details","कार्ड विवरण छिपाएँ","கார்டு விவரங்களை மறைக்கவும்","Hide Card Details","Hide Card Details","Hide Card Details","Hide Card Details","Hide Card Details","Hide Card Details","IB"
"1864","lastLoginDateTime","Last Login","आखरी लॉगइन","கடைசி உள்நுழைவு","Last Login","Last Login","Last Login","Last Login","Last Login","Last Login","IB"
"1865","totalAmountOfCheques","Total Amount of Cheques","चेकों की कुल राशि","காசோலைகளின் மொத்தத் தொகை","Total Amount of Cheques","Total Amount of Cheques","Total Amount of Cheques","Total Amount of Cheques","Total Amount of Cheques","Total Amount of Cheques","IB"
"1866","form15GDeclarefour","relevant to the assessment year","कर निर्धारण वर्ष से संबंधित","மதிப்பீட்டு ஆண்டுடன் தொடர்புடையது","relevant to the assessment year","relevant to the assessment year","relevant to the assessment year","relevant to the assessment year","relevant to the assessment year","relevant to the assessment year","IB"
"1867","rekycAddressAgreeNote","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","मैं UIDAI से प्राप्त आधार पते को अपने स्थायी पते के रूप में अपडेट करने की सहमति देता/देती हूँ और पुष्टि करता/करती हूँ कि ऊपर बताया गया वर्तमान पता ही मेरा नवीनतम संचार पता है।","UIDAI-இலிருந்து மீட்டெடுக்கப்பட்ட ஆதார் முகவரியை எனது நிரந்தர முகவரியாகப் புதுப்பிக்க நான் இதன் மூலம் ஒப்புக்கொள்கிறேன் மற்றும் மேற்கூறிய தற்போதைய முகவரி எனது சமீபத்திய தொடர்பு முகவரி என்பதை உறுதிப்படுத்துகிறேன்","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","I hereby consent to update the Aadhaar address retrieved from UIDAI as my permanent address and confirm that the above mentioned current address is my latest communication address","IB"
"1868","nomineeNotRegistered","Nominee not Registered","नामांकित व्यक्ति पंजीकृत नहीं है","நாமினி பதிவு செய்யப்படவில்லை","Nominee not Registered","Nominee not Registered","Nominee not Registered","Nominee not Registered","Nominee not Registered","Nominee not Registered","IB"
"1869","otpExpiredSMSEmail","Either your SMS and/or email OTP(s) are expired.","या तो आपके SMS और/या ईमेल OTP की समय-सीमा समाप्त हो गई है।","உங்கள் SMS மற்றும்/அல்லது மின்னஞ்சல் OTP(கள்) காலாவதியாகிவிட்டன.","Either your SMS and/or email OTP(s) are expired.","Either your SMS and/or email OTP(s) are expired.","Either your SMS and/or email OTP(s) are expired.","Either your SMS and/or email OTP(s) are expired.","Either your SMS and/or email OTP(s) are expired.","Either your SMS and/or email OTP(s) are expired.","IB"
"1870","referAFrnd","Refer a Friend","एक मित्र को सूचित करें","நண்பரைப் பரிந்துரைக்கவும்","Refer a Friend","Refer a Friend","Refer a Friend","Refer a Friend","Refer a Friend","Refer a Friend","IB"
"1871","useSelfTransfer","Please use self transfers!","कृपया सेल्फ ट्रांसफर का उपयोग करें!","சுய இடமாற்றங்களைப் பயன்படுத்தவும்!","Please use self transfers!","Please use self transfers!","Please use self transfers!","Please use self transfers!","Please use self transfers!","Please use self transfers!","IB"
"1872","checkPayment","Please check your payment details and try again.","कृपया अपनी पेमेंट की जानकारी जाँचें और फिर से प्रयास करें।","உங்கள் பேமெண்ட் விவரங்களைச் சரிபார்த்து மீண்டும் முயலவும்.","Please check your payment details and try again.","Please check your payment details and try again.","Please check your payment details and try again.","Please check your payment details and try again.","Please check your payment details and try again.","Please check your payment details and try again.","IB"
"1873","waivedFrom","Waived From","इससे छूट दी गई","இதிலிருந்து தள்ளுபடி செய்யப்பட்டது","Waived From","Waived From","Waived From","Waived From","Waived From","Waived From","IB"
"1874","invalidCardPinDetails","Invalid card details","अमान्य कार्ड विवरण","செல்லுபடியாகாத கார்டு விவரங்கள்","Invalid card details","Invalid card details","Invalid card details","Invalid card details","Invalid card details","Invalid card details","IB"
"1875","moreDetails","More Details","अधिक जानकारी","கூடுதல் விவரங்கள்","More Details","More Details","More Details","More Details","More Details","More Details","IB"
"1876","mngCredLimit","Manage Credit Limit","क्रेडिट सीमा प्रबंधित करें","கடன் வரம்பை நிர்வகிக்கவும்","Manage Credit Limit","Manage Credit Limit","Manage Credit Limit","Manage Credit Limit","Manage Credit Limit","Manage Credit Limit","IB"
"1877","sessionTimeout","Session Timeout","सत्र खत्म हुआ","அமர்வு நேரம் முடிந்தது","Session Timeout","Session Timeout","Session Timeout","Session Timeout","Session Timeout","Session Timeout","IB"
"1878","availLimit","Available Card Limit","उपलब्ध कार्ड सीमा","கிடைக்கக்கூடிய கார்டு வரம்பு","Available Card Limit","Available Card Limit","Available Card Limit","Available Card Limit","Available Card Limit","Available Card Limit","IB"
"1879","aadhaarAlertTitle","Aadhaar Alert!","आधार अलर्ट!","ஆதார் எச்சரிக்கை!","Aadhaar Alert!","Aadhaar Alert!","Aadhaar Alert!","Aadhaar Alert!","Aadhaar Alert!","Aadhaar Alert!","IB"
"1880","addressDetails","Address Details","पता विवरण","முகவரி விவரங்கள்","Address Details","Address Details","Address Details","Address Details","Address Details","Address Details","IB"
